p4n_id,title,url,latitude,longitude,location_type,num_places,total_reviews,avg_rating,parking_min_eur,parking_max_eur,electricity_eur,review_seasonality,top_languages,ai_pros,ai_cons,last_scraped
314064,(8800) União das freguesias de Tavira - 961Z N397,https://park4night.com/en/place/314064,37.29945,-7.751575,Parking lot day/night,10.0,13,4.77,0.0,0.0,0.0,"{""2026-01"": 1, ""2025-12"": 1, ""2025-11"": 1, ""2025-08"": 1, ""2025-07"": 1, ""2025-06"": 1, ""2025-04"": 2, ""2025-03"": 1, ""2025-02"": 2, ""2024-05"": 1}",nl (4); fr (3); de (1); en (1); es (1),atmosphere_quiet_peaceful (7); staff_friendly_helpful (6); catering_bar_restaurant_onsite (5); value_affordable_fair (3); location_nature_trails_access (2); scenery_natural_beauty (2); location_beach_water_access (1); activities_farm_eco_interaction (1); safety_feeling_safe_community (1); municipal_support_pro (1); access_easy_large_vehicles (1); misc_other_pros (1),terrain_uneven_sloping (1); noise_natural_elements (1); access_difficult_narrow_steep (1),2026-01-26 10:48:49
45518,(21595) Sanlúcar de Guadiana - HU-4401,https://park4night.com/en/place/45518,37.469898,-7.46398,Free motorhome area,20.0,84,4.14,0.0,0.0,0.0,"{""2025-12"": 2, ""2025-09"": 1, ""2025-07"": 4, ""2025-06"": 1, ""2025-05"": 1, ""2025-03"": 1, ""2025-02"": 3, ""2025-01"": 4, ""2024-12"": 1, ""2024-11"": 3, ""2024-10"": 1, ""2024-09"": 3, ""2024-08"": 1, ""2024-05"": 3}",es (10); en (7); de (3); nl (2); fr (2); da (1); it (1),atmosphere_quiet_peaceful (17); location_town_center_proximity (13); services_bread_delivery_onsite (1); value_affordable_fair (10); facilities_clean_modern (3); waste_disposal_functional (7); water_potable_easy_refill (7); scenery_natural_beauty (3); views_sunset_aesthetic (1); safety_secure_fenced_monitored (2); family_child_friendly_playground (1); access_easy_large_vehicles (1); local_product_purchase_opportunity (1); misc_other_pros (10); activities_onsite_yoga_pool (1); heritage_culture_history (2); showers_hot_high_pressure (1),terrain_uneven_sloping (10); shade_lack_of_exposed (5); utilities_electricity_tripping (1); waste_disposal_poor_design (1); noise_natural_elements (1); noise_traffic_airplane_loud (1); terrain_muddy_dusty_flooding (1); facilities_broken_outdated (1); space_cramped_design_issue (1); misc_other_cons (3); terrain_sandy_stuck_risk (1); overcrowding_situational_busy (1); supplies_nearby_shops_fuel (1),2026-01-26 10:48:58
113547,(7700) Almodôvar - Unnamed Road,https://park4night.com/en/place/113547,37.519332,-8.077693,Parking lot day/night,5.0,6,4.5,0.0,0.0,0.0,"{""2025-03"": 1, ""2025-01"": 1, ""2024-10"": 1}",nl (1); fr (2),access_easy_large_vehicles (1); views_sunset_aesthetic (1); value_affordable_fair (1); utilities_reliable_electricity (1); connectivity_strong_wifi (1); atmosphere_quiet_peaceful (1),weather_wind_exposure (1); noise_traffic_airplane_loud (1),2026-01-26 10:49:03
575282,(8950) Lago na Colina,https://park4night.com/en/place/575282,37.27071,-7.542628,Homestays accommodation,4.0,15,4.4,,,0.0,"{""2026-01"": 1, ""2025-11"": 1, ""2025-10"": 2, ""2025-08"": 5, ""2025-07"": 1, ""2025-04"": 5}",de (9); es (2); fr (1); en (1),atmosphere_quiet_peaceful (7); staff_friendly_helpful (7); scenery_natural_beauty (6); location_nature_trails_access (3); family_child_friendly_playground (3); pet_friendly_amenities (2); location_beach_water_access (2); facilities_clean_modern (2); views_sunset_aesthetic (1); unique_vibe_creative_eco (1); activities_farm_eco_interaction (1); local_product_purchase_opportunity (1); supplies_nearby_shops_fuel (1); services_bread_delivery_onsite (1); utilities_reliable_electricity (1); water_potable_easy_refill (1); waste_disposal_functional (1); connectivity_strong_wifi (1); safety_feeling_safe_community (1); access_easy_large_vehicles (1); activities_onsite_yoga_pool (1); heritage_culture_history (1); misc_other_pros (1),waste_disposal_no_grey_water (1); payment_issues_cash_only_friction (1); location_remote_isolated_far (1); noise_natural_elements (1); facilities_broken_outdated (1); terrain_muddy_dusty_flooding (1); misc_other_cons (1),2026-01-26 10:49:12
537930,(7750-147) Área Serviços Autocaravanas Mina de São Domingos,https://park4night.com/en/place/537930,37.67397,-7.502076,Paying motorhome area,26.0,79,3.95,7.0,7.0,0.0,"{""2026-01"": 3, ""2025-12"": 1, ""2025-11"": 1, ""2025-10"": 1, ""2025-09"": 7, ""2025-07"": 2, ""2025-06"": 2, ""2025-04"": 3, ""2025-03"": 3, ""2025-02"": 7, ""2025-01"": 6, ""2024-12"": 8, ""2024-11"": 4, ""2024-10"": 3, ""2024-09"": 7, ""2024-08"": 5, ""2024-04"": 2, ""2024-02"": 1}",pt (26); fr (10); es (5); de (7); en (4); nl (3),location_nature_trails_access (14); location_beach_water_access (13); value_affordable_fair (12); utilities_reliable_electricity (11); water_potable_easy_refill (10); waste_disposal_functional (9); atmosphere_quiet_peaceful (9); facilities_clean_modern (7); pitches_spacious_private (6); terrain_level_flat (6); services_bread_delivery_onsite (5); location_town_center_proximity (5); showers_hot_high_pressure (4); checkin_automated_flexible_process (3); supplies_nearby_shops_fuel (3); family_child_friendly_playground (2); pet_friendly_amenities (2); unique_vibe_creative_eco (2); local_product_purchase_opportunity (1); municipal_support_pro (1); heritage_culture_history (1); misc_other_pros (1),shade_lack_of_exposed (16); noise_dogs_animals_neighbors (1); facilities_broken_outdated (1); terrain_muddy_dusty_flooding (1); access_difficult_narrow_steep (1); overcrowding_situational_busy (1); space_cramped_design_issue (1); payment_issues_cash_only_friction (1); service_lack_of_amenities (1); checkin_rules_restrictive_slow (1); wifi_poor_unreliable_signal (1); safety_theft_risk_loitering (1); environment_litter_trash_accumulation (1); utilities_electricity_tripping (1); utilities_water_nonpotable_slow (1); signage_unclear_directions (1); rules_strict_fussy_unpleasant (1); social_inconsiderate_behavior (1); terrain_sandy_stuck_risk (1); misc_other_cons (1),2026-01-26 10:49:14
101861,(7780-201) Castro Verde - 9 Largo da Feira,https://park4night.com/en/place/101861,37.696684,-8.088233,Parking lot day/night,100.0,77,4.26,0.0,0.0,0.0,"{""2026-01"": 1, ""2025-09"": 1, ""2025-08"": 1, ""2025-04"": 1, ""2025-02"": 4, ""2024-12"": 2, ""2024-11"": 2, ""2024-10"": 2, ""2024-08"": 2, ""2024-07"": 1, ""2024-06"": 1, ""2024-05"": 2, ""2024-04"": 2, ""2024-03"": 2, ""2024-02"": 4, ""2024-01"": 1}",nl (3); en (7); es (4); pt (2); fr (7); de (3),atmosphere_quiet_peaceful (16); location_nature_trails_access (1); location_town_center_proximity (10); supplies_nearby_shops_fuel (10); services_bread_delivery_onsite (1); facilities_clean_modern (3); terrain_level_flat (5); value_affordable_fair (1); municipal_support_pro (2); local_product_purchase_opportunity (1); views_sunset_aesthetic (2); pet_friendly_amenities (1); access_easy_large_vehicles (1); connectivity_strong_wifi (1); misc_other_pros (1); scenery_natural_beauty (1); water_potable_easy_refill (3); waste_disposal_functional (2),shade_lack_of_exposed (1); noise_traffic_airplane_loud (2); overcrowding_situational_busy (2); space_cramped_design_issue (2); noise_natural_elements (1); rules_strict_fussy_unpleasant (1); social_inconsiderate_behavior (2); noise_events_music_parties (1); misc_other_cons (1),2026-01-26 10:49:30
303741,(8100) Salir - 332Z N124,https://park4night.com/en/place/303741,37.240328,-8.022645,Extra services,1.0,5,5.0,0.0,0.0,0.0,"{""2026-01"": 1, ""2025-01"": 1}",nl (2),water_potable_easy_refill (1); showers_hot_high_pressure (2); misc_other_pros (1),,2026-01-26 10:49:49
99492,(7750)  - 4 Rua 25 de Abril,https://park4night.com/en/place/99492,37.672654,-7.498665,Extra services,0.0,22,3.82,,,,"{""2026-01"": 1, ""2025-12"": 1, ""2025-08"": 1, ""2025-04"": 1, ""2025-03"": 1, ""2024-12"": 1, ""2024-11"": 1, ""2024-05"": 1, ""2024-04"": 1, ""2024-02"": 1}",de (4); en (3); es (1); fr (1),showers_hot_high_pressure (7); facilities_clean_modern (3); municipal_support_pro (2); waste_disposal_functional (1); misc_other_pros (1),facilities_broken_outdated (2); cleanliness_dirty_unkept (1); situational_temporary_blockage (1); misc_other_cons (1),2026-01-26 10:49:49
389091,(8100) Área autocaravanas Ameixial,https://park4night.com/en/place/389091,37.365041,-7.95886,Paying motorhome area,40.0,115,4.06,0.0,0.0,0.0,"{""2026-01"": 1, ""2025-12"": 1, ""2025-11"": 1, ""2025-10"": 2, ""2025-09"": 1, ""2025-08"": 1, ""2025-07"": 1, ""2025-06"": 1, ""2025-05"": 4, ""2025-04"": 7, ""2025-03"": 1, ""2025-02"": 3, ""2025-01"": 9, ""2024-12"": 5, ""2024-11"": 4, ""2024-10"": 3, ""2024-09"": 4, ""2024-08"": 3, ""2024-07"": 3, ""2024-06"": 1, ""2024-05"": 3, ""2024-04"": 4, ""2024-03"": 2, ""2024-02"": 3}",en (13); fr (12); de (6); pt (6); nl (5); es (4); it (3); sv (1),value_affordable_fair (37); utilities_reliable_electricity (29); water_potable_easy_refill (26); waste_disposal_functional (24); location_nature_trails_access (15); pitches_spacious_private (14); showers_hot_high_pressure (12); family_child_friendly_playground (10); services_bread_delivery_onsite (4); facilities_clean_modern (3); access_easy_large_vehicles (3); unique_vibe_creative_eco (2); local_product_purchase_opportunity (2); misc_other_pros (2); terrain_level_flat (2); catering_bar_restaurant_onsite (1); connectivity_good_5g_mobile (1); safety_feeling_safe_community (1); pet_friendly_amenities (1); municipal_support_pro (1); shade_natural_provided (1),noise_dogs_animals_neighbors (23); social_inconsiderate_behavior (16); facilities_broken_outdated (11); cleanliness_dirty_unkept (9); overcrowding_situational_busy (7); rules_strict_fussy_unpleasant (5); terrain_muddy_dusty_flooding (2); noise_traffic_airplane_loud (2); utilities_electricity_tripping (2); signage_unclear_directions (2); environment_litter_trash_accumulation (2); noise_events_music_parties (1); showers_cold_low_pressure (1); access_difficult_narrow_steep (1); wifi_poor_unreliable_signal (1); safety_theft_risk_loitering (1); waste_disposal_no_grey_water (1); misc_other_cons (1); shade_lack_of_exposed (1); location_remote_isolated_far (1); environment_pests_insects_smells (1),2026-01-26 10:49:54
26349,(8970-064) Alcoutim - 25 Avenida de Espanha,https://park4night.com/en/place/26349,37.472599,-7.47645,Parking lot day/night,4.0,21,3.76,0.0,0.0,0.0,"{""2025-05"": 1, ""2024-08"": 1, ""2024-07"": 2}",fr (2); de (1),location_beach_water_access (2); facilities_clean_modern (1); location_town_center_proximity (1); supplies_nearby_shops_fuel (1); catering_bar_restaurant_onsite (1); noise_natural_elements (1); misc_other_pros (1),facilities_broken_outdated (1); noise_dogs_animals_neighbors (1); showers_cold_low_pressure (1); misc_other_cons (1),2026-01-26 10:50:02
