p4n_id,title,url,latitude,longitude,location_type,num_places,total_reviews,avg_rating,parking_min_eur,parking_max_eur,electricity_eur,review_seasonality,top_languages,ai_pros,ai_cons,last_scraped
161746,(7600-095) Aljustrel - 13 Estrada de Aljustrel,https://park4night.com/en/place/161746,37.884745,-8.162999,Parking lot day/night,0.0,5,4.4,0.0,0.0,,"{""2025-11"": 1, ""2025-05"": 1, ""2025-03"": 1, ""2024-10"": 1}",fr (2); de (1); en (1),misc_other_pros (1); location_nature_trails_access (1); supplies_nearby_shops_fuel (1); ground_flat_level_paved (1); atmosphere_quiet_peaceful (1); shade_natural_provided (1); activities_onsite_yoga_pool (1); facilities_clean_modern (1); access_easy_large_vehicles (1),noise_events_music_parties (1); noise_traffic_airplane_loud (1),2026-01-25 22:08:28
46411,(7600) Aljustrel - 31 Rua da Estalagem,https://park4night.com/en/place/46411,37.884499,-8.15155,Parking lot day/night,4.0,6,2.67,0.0,0.0,,"{""2024-10"": 1}",,,laundry_effective_available (1),2026-01-25 22:08:35
165015,(7830-320) Serpa - 3 Rua da Eira de São Pedro,https://park4night.com/en/place/165015,37.940934,-7.604289,Parking lot day/night,24.0,28,3.79,0.0,0.0,0.0,"{""2025-10"": 1, ""2025-09"": 1, ""2025-04"": 1, ""2025-03"": 1, ""2024-12"": 1, ""2024-07"": 1, ""2024-06"": 1, ""2024-04"": 1, ""2024-03"": 1}",fr (3); pt (3); es (2),ground_flat_level_paved (2); atmosphere_quiet_peaceful (5); location_town_center_proximity (3); supplies_nearby_shops_fuel (2); safety_feeling_safe_community (2); misc_other_pros (1),noise_traffic_airplane_loud (1); terrain_uneven_sloping (1); overcrowding_packed_residents (1); environment_pests_insects_smells (1); misc_other_cons (1),2026-01-25 22:09:05
19694,"() Beja - Rua D2, proximo da rua nº 02050090",https://park4night.com/en/place/19694,38.020901,-7.87103,Parking lot day/night,0.0,12,2.75,0.0,0.0,,"{""2025-04"": 2, ""2024-09"": 1, ""2024-08"": 1, ""2024-05"": 1, ""2024-02"": 1}",fr (3); es (2); en (1),ground_flat_level_paved (1); location_town_center_proximity (2); atmosphere_quiet_peaceful (1),noise_traffic_airplane_loud (1); misc_other_cons (1); service_lack_of_amenities (1),2026-01-25 22:09:08
47885,(7920-999) Camping Markadia,https://park4night.com/en/place/47885,38.184898,-8.10313,Camping,400.0,117,4.23,15.0,35.0,0.0,"{""2026-01"": 1, ""2025-10"": 2, ""2025-08"": 7, ""2025-07"": 5, ""2025-06"": 2, ""2025-05"": 1, ""2025-04"": 1, ""2025-03"": 1, ""2025-02"": 1, ""2025-01"": 4, ""2024-12"": 1, ""2024-10"": 3, ""2024-09"": 4, ""2024-08"": 1, ""2024-07"": 1, ""2024-06"": 2, ""2024-05"": 3, ""2024-04"": 3, ""2024-02"": 1}",en (7); de (7); pt (5); fr (5); nl (3); es (2); he (1),atmosphere_quiet_peaceful (21); scenery_natural_beauty (17); facilities_clean_modern (16); staff_friendly_helpful (11); location_beach_water_access (10); pitches_spacious_private (9); views_sunset_starry_sky (3); shade_natural_provided (3); showers_hot_high_pressure (3); services_bread_delivery_onsite (1); value_affordable_fair (1); discounts_accepted_acsi (2); laundry_effective_available (1); ground_flat_level_paved (1); supplies_nearby_shops_fuel (1); catering_bar_restaurant_onsite (10); water_potable_easy_refill (1); pet_friendly_amenities (1); family_child_friendly_playground (1); access_easy_large_vehicles (1); activities_farm_eco_interaction (1); misc_other_pros (3),noise_dogs_animals_neighbors (1); cleanliness_dirty_unkept (1); facilities_broken_outdated (4); terrain_uneven_sloping (1); access_difficult_narrow_steep (1); overcrowding_packed_residents (1); space_cramped_lack_of_privacy (1); price_expensive_overpriced (4); service_lack_of_amenities (1); checkin_rules_restrictive_slow (1); wifi_poor_unreliable_signal (1); environment_pests_insects_smells (4); environment_litter_trash_accumulation (1); signage_unclear_directions (1); rules_strict_fussy_unpleasant (1); misc_other_cons (2),2026-01-25 22:09:14
222022,(7600) Terra Nua - Naturist Camping Site,https://park4night.com/en/place/222022,37.845438,-8.284281,Camping,30.0,25,4.68,10.0,15.0,0.0,"{""2025-08"": 1, ""2025-06"": 1, ""2025-02"": 1, ""2024-11"": 1, ""2024-08"": 1, ""2024-03"": 1}",de (4); nl (1); en (1),atmosphere_quiet_peaceful (5); staff_friendly_helpful (4); showers_hot_high_pressure (2); facilities_clean_modern (1); views_sunset_starry_sky (1); service_multilingual_welcoming (1); pitches_spacious_private (1); value_affordable_fair (1); supplies_nearby_shops_fuel (1); unique_vibe_creative_eco_farm (1); activities_onsite_yoga_pool (2),social_niche_demographic (1),2026-01-25 22:09:16
13843,(7600) Aljustrel - N2,https://park4night.com/en/place/13843,37.936401,-8.08083,Parking lot day/night,10.0,107,4.42,0.0,0.0,0.0,"{""2025-11"": 1, ""2025-10"": 4, ""2025-06"": 2, ""2025-05"": 2, ""2025-02"": 5, ""2025-01"": 4, ""2024-12"": 1, ""2024-10"": 4, ""2024-09"": 3, ""2024-08"": 1, ""2024-07"": 3, ""2024-06"": 2, ""2024-05"": 1, ""2024-04"": 4, ""2024-03"": 1, ""2024-02"": 3}",nl (8); fr (8); en (7); de (4); es (2); pt (2); it (1),atmosphere_quiet_peaceful (26); scenery_natural_beauty (13); location_nature_trails_access (6); views_sunset_starry_sky (3); shade_natural_provided (3); family_child_friendly_playground (2); access_easy_large_vehicles (2); connectivity_good_5g_mobile (2); location_beach_water_access (2); pet_friendly_amenities (1); activities_farm_eco_interaction (1); misc_other_pros (1),noise_dogs_animals_neighbors (5); environment_litter_trash_accumulation (4); service_lack_of_amenities (4); environment_pests_insects_smells (2); utilities_water_nonpotable_slow (1); misc_other_cons (1); overcrowding_packed_residents (1),2026-01-25 22:09:24
69788,(7600) Aljustrel - Rua Nossa Senhora do Castelo,https://park4night.com/en/place/69788,37.880798,-8.16701,Parking lot day/night,12.0,20,4.05,0.0,0.0,0.0,"{""2025-11"": 1, ""2025-01"": 1, ""2024-11"": 2, ""2024-10"": 2, ""2024-08"": 1, ""2024-01"": 1}",de (2); fr (3); es (1); pt (1); en (1),views_sunset_starry_sky (4); atmosphere_quiet_peaceful (3); location_town_center_proximity (1); heritage_culture_history (1); access_easy_large_vehicles (1); misc_other_pros (1),noise_traffic_airplane_loud (1); noise_dogs_animals_neighbors (1); noise_events_music_parties (1); service_lack_of_amenities (1); access_difficult_narrow_steep (1),2026-01-25 22:09:34
114114,(7940-148) Cuba - 4 Rua do Norte,https://park4night.com/en/place/114114,38.168082,-7.895297,Parking lot day/night,11.0,6,3.33,0.0,0.0,0.0,"{""2025-04"": 1, ""2024-04"": 2, ""2024-03"": 1}",en (2); pt (1); de (1),atmosphere_quiet_peaceful (3); scenery_natural_beauty (1); shade_natural_provided (1); location_town_center_proximity (1); connectivity_strong_wifi (1); safety_secure_fenced_monitored (1),facilities_broken_outdated (1); service_lack_of_amenities (1),2026-01-25 22:09:46
35314,(7600-311) Parque de autocaravanas da Quinta da Cerca,https://park4night.com/en/place/35314,37.831507,-8.24691,Private car park for campers,50.0,112,4.15,9.0,10.0,0.0,"{""2025-11"": 2, ""2025-10"": 4, ""2025-09"": 3, ""2025-08"": 5, ""2025-07"": 1, ""2025-06"": 1, ""2025-05"": 2, ""2025-04"": 2, ""2025-03"": 3, ""2025-02"": 4, ""2025-01"": 1, ""2024-12"": 2, ""2024-10"": 2, ""2024-09"": 5, ""2024-08"": 2, ""2024-07"": 2, ""2024-06"": 2, ""2024-04"": 2, ""2024-03"": 2, ""2024-02"": 3}",en (13); de (10); fr (9); es (3); nl (3); pt (3); it (2); fi (1),value_affordable_fair (19); activities_onsite_yoga_pool (17); staff_friendly_helpful (14); facilities_clean_modern (13); pitches_spacious_private (10); utilities_reliable_electricity (9); water_potable_easy_refill (7); waste_disposal_functional (6); showers_hot_high_pressure (5); service_multilingual_welcoming (5); ground_flat_level_paved (4); location_nature_trails_access (3); family_child_friendly_playground (2); safety_secure_fenced_monitored (2); supplies_nearby_shops_fuel (2); atmosphere_quiet_peaceful (2); services_bread_delivery_onsite (1); pet_friendly_amenities (1); access_easy_large_vehicles (1); checkin_automated_flexible_process (1); unique_vibe_creative_eco_farm (1); misc_other_pros (1),showers_cold_low_pressure (3); connectivity_strong_wifi (1); noise_dogs_animals_neighbors (1); terrain_muddy_dusty_flooding (1); space_cramped_lack_of_privacy (1); service_lack_of_amenities (1); wifi_poor_unreliable_signal (1); safety_theft_risk_loitering (1); environment_pests_insects_smells (1); signage_unclear_directions (1); location_remote_isolated_far (1); rules_strict_fussy_unpleasant (1); situational_temporary_blockage (1); misc_other_cons (1),2026-01-25 22:09:53
